#$Source: /home/bbennett/pass/archive/Posda/psv/dicom_dd.psv,v $
#$Date: 2009/02/06 18:06:24 $
#$Revision: 1.4 $
#
#
#Copyright 2008, Bill Bennett
# Part of the Posda package
# Posda may be copied only under the terms of either the Artistic License or the
# GNU General Public License, which may be found in the Posda Distribution,
# or at http://posda.com/License.html
#

(0008,0001)|Length to End|UL|1|RET
(0008,0005)|Specific Character Set|CS|1-n|
(0008,0008)|Image Type|CS|1-n|
(0008,0010)|Recognition Code|CS|1|RET
(0008,0012)|Instance Creation Date|DA|1|
(0008,0013)|Instance Creation Time|TM|1|
(0008,0014)|Instance Creator UID|UI|1|
(0008,0016)|SOP Class UID|UI|1|
(0008,0018)|SOP Instance UID|UI|1|
(0008,001A)|Related General SOP Class UID|UI|1-n|
(0008,001B)|Original Specialized SOP Class UID|UI|1|
(0008,0020)|Study Date|DA|1|
(0008,0021)|Series Date|DA|1|
(0008,0022)|Acquisition Date|DA|1|
(0008,0023)|Content Date|DA|1|
(0008,0024)|Overlay Date|DA|1|RET
(0008,0025)|Curve Date|DA|1|RET
(0008,002A)|Acquisition Datetime|DT|1|
(0008,0030)|Study Time|TM|1|
(0008,0031)|Series Time|TM|1|
(0008,0032)|Acquisition Time|TM|1|
(0008,0033)|Content Time|TM|1|
(0008,0034)|Overlay Time|TM|1|RET
(0008,0035)|Curve Time|TM|1|RET
(0008,0040)|Data Set Type|US|1|RET
(0008,0041)|Data Set Subtype|LO|1|RET
(0008,0042)|Nuclear Medicine Series Type|CS|1|RET
(0008,0050)|Accession Number|SH|1|
(0008,0052)|Query/Retrieve Level|CS|1|
(0008,0054)|Retrieve AE Title|AE|1-n|
(0008,0056)|Instance Availability|CS|1|
(0008,0058)|Failed SOP Instance UID List|UI|1-n|
(0008,0060)|Modality|CS|1|
(0008,0061)|Modalities in Study|CS|1-n|
(0008,0062)|SOP Classes in Study|UI|1-n|
(0008,0064)|Conversion Type|CS|1|
(0008,0068)|Presentation Intent Type|CS|1|
(0008,0070)|Manufacturer|LO|1|
(0008,0080)|Institution Name|LO|1|
(0008,0081)|Institution Address|ST|1|
(0008,0082)|Institution Code Sequence|SQ|1|
(0008,0090)|Referring Physician's Name|PN|1|
(0008,0092)|Referring Physician's Address|ST|1|
(0008,0094)|Referring Physician's Telephone Numbers|SH|1-n|
(0008,0096)|Referring Physician Identification Sequence|SQ|1|
(0008,0100)|Code Value|SH|1|
(0008,0102)|Coding Scheme Designator|SH|1|
(0008,0103)|Coding Scheme Version|SH|1|
(0008,0104)|Code Meaning|LO|1|
(0008,0105)|Mapping Resource|CS|1|
(0008,0106)|Context Group Version|DT|1|
(0008,0107)|Context Group Local Version|DT|1|
(0008,010B)|Context Group Extension Flag|CS|1|
